actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
186,PT11M36.00S,2,1610612738,BOS,1630568,Garza,L. Garza,0,0,0,,0,34,18,52,h,Garza Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,129
187,PT11M36.00S,2,1610612738,BOS,1630568,Garza,L. Garza,0,0,0,,0,35,18,53,h,Garza Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,130
188,PT11M25.00S,2,1610612738,BOS,1630568,Garza,L. Garza,0,0,0,,0,,,0,h,Garza S.FOUL (P1.T1) (P.Fraher),Foul,Shooting,1,0,131
190,PT11M25.00S,2,1610612755,PHI,202331,George,P. George,0,0,0,,0,35,19,54,v,George Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,1,0,132
191,PT11M25.00S,2,1610612755,PHI,202331,George,P. George,0,0,0,,0,35,20,55,v,George Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,1,0,133
192,PT11M06.00S,2,1610612738,BOS,1627759,Brown,J. Brown,-36,112,12,Missed,1,,,0,h,MISS Brown 12' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1,2,134
193,PT11M05.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,0,0,0,,0,,,0,v,Edwards REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,135
194,PT10M55.00S,2,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,,,0,h,Brown S.FOUL (P2.T2) (P.Fraher),Foul,Shooting,1,0,136
196,PT10M55.00S,2,1610612755,PHI,202331,George,P. George,0,0,0,,0,,,0,v,MISS George Free Throw 1 of 3,Free Throw,Free Throw 1 of 3,1,0,137
197,PT10M55.00S,2,0,,1610612755,,,0,0,0,,0,,,0,v,76ers Rebound,Rebound,Normal Rebound,0,0,138
198,PT10M55.00S,2,1610612755,PHI,202331,George,P. George,0,0,0,,0,35,21,56,v,George Free Throw 2 of 3 (8 PTS),Free Throw,Free Throw 2 of 3,1,0,139
199,PT10M55.00S,2,1610612755,PHI,202331,George,P. George,0,0,0,,0,35,22,57,v,George Free Throw 3 of 3 (9 PTS),Free Throw,Free Throw 3 of 3,1,0,140
200,PT10M37.00S,2,1610612738,BOS,1631248,Scheierman,B. Scheierman,-142,16,14,Made,1,37,22,59,h,Scheierman 14' Driving Floating Jump Shot (2 PTS) (Brown 2 AST),Made Shot,Driving Floating Jump Shot,1,2,141
202,PT10M24.00S,2,1610612755,PHI,202331,George,P. George,44,14,5,Missed,1,,,0,v,MISS George 5' Driving Layup,Missed Shot,Driving Layup Shot,1,2,142
202,PT10M24.00S,2,1610612738,BOS,1631248,Scheierman,B. Scheierman,0,0,0,,0,,,0,h,Scheierman BLOCK (1 BLK),,,1,2,143
204,PT10M23.00S,2,0,,1610612755,,,0,0,0,,0,,,0,v,76ers Rebound,Rebound,Unknown,0,0,144
206,PT10M22.00S,2,1610612755,PHI,1629656,Grimes,Q. Grimes,0,0,0,,0,,,0,v,Grimes Step Out of Bounds Turnover (P1.T7),Turnover,Step Out of Bounds Turnover,1,0,145
207,PT10M08.00S,2,1610612738,BOS,1630568,Garza,L. Garza,-92,264,28,Made,1,40,22,62,h,Garza 28' 3PT Jump Shot (5 PTS) (Pritchard 1 AST),Made Shot,Jump Shot,1,3,146
209,PT09M56.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,-147,188,24,Made,1,40,25,65,v,Edwards 24' 3PT Jump Shot (3 PTS) (Edgecombe 1 AST),Made Shot,Jump Shot,1,3,147
211,PT09M39.00S,2,1610612738,BOS,1627759,Brown,J. Brown,-23,158,16,Missed,1,,,0,h,MISS Brown 16' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,148
212,PT09M36.00S,2,1610612755,PHI,202331,George,P. George,0,0,0,,0,,,0,v,George REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,149
213,PT09M20.00S,2,1610612755,PHI,203083,Drummond,A. Drummond,239,32,24,Missed,1,,,0,v,MISS Drummond 24' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,150
214,PT09M19.00S,2,1610612738,BOS,1630573,Hauser,S. Hauser,0,0,0,,0,,,0,h,Hauser REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,151
215,PT08M59.00S,2,1610612738,BOS,1627759,Brown,J. Brown,2,15,2,Made,1,42,25,67,h,Brown 2' Driving Dunk (6 PTS),Made Shot,Driving Dunk Shot,1,2,152
216,PT08M44.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,-11,46,5,Missed,1,,,0,v,MISS Edwards 5' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,153
217,PT08M43.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,0,0,0,,0,,,0,v,Edwards REBOUND (Off:1 Def:1),Rebound,Unknown,1,0,154
218,PT08M43.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,0,0,0,Made,1,42,27,69,v,Edwards Tip Layup Shot (5 PTS),Made Shot,Tip Layup Shot,1,2,155
219,PT08M43.00S,2,1610612738,BOS,1630568,Garza,L. Garza,0,0,0,,0,,,0,h,Garza S.FOUL (P2.T3) (P.Fraher),Foul,Shooting,1,0,156
221,PT08M43.00S,2,1610612738,BOS,1630568,Garza,L. Garza,0,0,0,,0,,,0,h,SUB: White FOR Garza,Substitution,,0,0,157
222,PT08M43.00S,2,1610612738,BOS,1631248,Scheierman,B. Scheierman,0,0,0,,0,,,0,h,SUB: Queta FOR Scheierman,Substitution,,0,0,158
223,PT08M43.00S,2,1610612755,PHI,1629656,Grimes,Q. Grimes,0,0,0,,0,,,0,v,SUB: Maxey FOR Grimes,Substitution,,0,0,159
227,PT08M43.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,0,0,0,,0,,,0,v,MISS Edwards Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,1,0,160
228,PT08M43.00S,2,1610612738,BOS,1630573,Hauser,S. Hauser,0,0,0,,0,,,0,h,Hauser REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,161
229,PT08M25.00S,2,1610612738,BOS,1629674,Queta,N. Queta,-9,81,8,Made,1,44,27,71,h,Queta 8' Floating Jump Shot (5 PTS) (Pritchard 2 AST),Made Shot,Floating Jump shot,1,2,162
231,PT08M12.00S,2,1610612755,PHI,203083,Drummond,A. Drummond,-28,0,3,Made,1,44,29,73,v,Drummond 3' Reverse Layup (2 PTS) (George 1 AST),Made Shot,Reverse Layup Shot,1,2,163
233,PT08M03.00S,2,1610612738,BOS,1627759,Brown,J. Brown,53,49,7,Made,1,46,29,75,h,Brown 7' Driving Floating Jump Shot (8 PTS),Made Shot,Driving Floating Jump Shot,1,2,164
234,PT07M39.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,54,89,10,Missed,1,,,0,v,MISS Edgecombe 10' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1,2,165
235,PT07M38.00S,2,1610612738,BOS,1629674,Queta,N. Queta,0,0,0,,0,,,0,h,Queta REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,166
236,PT07M21.00S,2,1610612738,BOS,1629674,Queta,N. Queta,62,7,6,Made,1,48,29,77,h,Queta 6' Floating Jump Shot (7 PTS) (Pritchard 3 AST),Made Shot,Floating Jump shot,1,2,167
238,PT07M21.00S,2,1610612755,PHI,203083,Drummond,A. Drummond,0,0,0,,0,,,0,v,Drummond Violation:Defensive Goaltending (T.Maddox),Violation,Defensive Goaltending,0,0,168
239,PT07M16.00S,2,1610612755,PHI,203083,Drummond,A. Drummond,0,0,0,,0,,,0,v,Drummond T.FOUL (P2.T1) (S.Foster),Foul,Technical,1,0,169
