actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,score_after,score_before,diff,leader,lead_change,home_pts,away_pts,run_team,current_run
250,PT06M50.00S,2,1610612755,PHI,202331,George,P. George,0,0,0,,0,49.0,31.0,0,v,SUB: Oubre Jr. FOR George,Substitution,,0,0,176,31-49,31-49,18.0,1,False,0.0,0.0,,0.0
252,PT06M40.00S,2,1610612755,PHI,1630178,Maxey,T. Maxey,0,0,0,,0,49.0,31.0,0,v,Maxey S.FOUL (P2.T3) (T.Maddox),Foul,Shooting,1,0,177,31-49,31-49,18.0,1,False,0.0,0.0,,0.0
254,PT06M40.00S,2,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,50.0,31.0,81,h,Brown Free Throw 1 of 2 (9 PTS),Free Throw,Free Throw 1 of 2,1,0,178,31-50,31-49,19.0,1,False,1.0,0.0,HOME,1.0
255,PT06M40.00S,2,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,51.0,31.0,82,h,Brown Free Throw 2 of 2 (10 PTS),Free Throw,Free Throw 2 of 2,0,0,179,31-51,31-50,20.0,1,False,1.0,0.0,HOME,2.0
256,PT06M31.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,-142,198,24,Missed,1,51.0,31.0,0,v,MISS Edgecombe 24' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,180,31-51,31-51,20.0,1,False,0.0,0.0,,0.0
257,PT06M28.00S,2,1610612755,PHI,1641737,Bona,A. Bona,0,0,0,,0,51.0,31.0,0,v,Bona REBOUND (Off:1 Def:1),Rebound,Unknown,1,0,181,31-51,31-51,20.0,1,False,0.0,0.0,,0.0
258,PT06M25.00S,2,1610612755,PHI,1641737,Bona,A. Bona,-28,4,3,Missed,1,51.0,31.0,0,v,MISS Bona 3' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,1,2,182,31-51,31-51,20.0,1,False,0.0,0.0,,0.0
259,PT06M24.00S,2,1610612755,PHI,1641737,Bona,A. Bona,0,0,0,,0,51.0,31.0,0,v,Bona REBOUND (Off:2 Def:1),Rebound,Unknown,1,0,183,31-51,31-51,20.0,1,False,0.0,0.0,,0.0
260,PT06M21.00S,2,1610612755,PHI,1641737,Bona,A. Bona,38,17,4,Missed,1,51.0,31.0,0,v,MISS Bona 4' Putback Layup,Missed Shot,Putback Layup Shot,1,2,184,31-51,31-51,20.0,1,False,0.0,0.0,,0.0
261,PT06M20.00S,2,1610612738,BOS,1628401,White,D. White,0,0,0,,0,51.0,31.0,0,h,White REBOUND (Off:1 Def:1),Rebound,Unknown,1,0,185,31-51,31-51,20.0,1,False,0.0,0.0,,0.0
